model,params,mean_test_f1,std_test_f1,mean_test_accuracy,std_test_accuracy,rank_test_f1
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_leaf': 4}",0.5583426986070522,0.016533820983092546,0.7890902066834073,0.007095442499954938,35
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 2}",0.553329911317802,0.01670787732329816,0.7897354104269306,0.005784920830059259,37
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_leaf': 1}",0.5526620955055173,0.025202967894168198,0.776281736420813,0.013057434778295875,38
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_leaf': 1}",0.5526620955055173,0.025202967894168198,0.776281736420813,0.013057434778295875,38
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_leaf': 2}",0.5492211544120046,0.017135277519790028,0.7801514730199297,0.007996280294641254,40
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 2}",0.5487792045602413,0.01814497392540742,0.7919468825553431,0.00764022624524894,41
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 2}",0.5477263228234728,0.02112339015648413,0.7894592099034827,0.0018101707519148722,42
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 2}",0.5477263228234728,0.02112339015648413,0.7894592099034827,0.0018101707519148722,42
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_leaf': 2}",0.5475681489238452,0.01958644611565679,0.7833760907819243,0.009294680348339293,44
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.5456886586177223,0.025317888986512774,0.7856815118433816,0.0026970693573043587,45
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.5456886586177223,0.025317888986512774,0.7856815118433816,0.0026970693573043587,45
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 4}",0.5438341044444055,0.01796803997729809,0.7910266669779903,0.006249616835076599,47
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 4}",0.5438341044444055,0.01796803997729809,0.7910266669779903,0.006249616835076599,47
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 1}",0.5389619349857169,0.018983876872044714,0.7734260369724926,0.006546522546737204,49
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 1}",0.5389619349857169,0.018983876872044714,0.7734260369724926,0.006546522546737204,49
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 400}",0.5381572233844885,0.025974458420029083,0.8274201402229217,0.007359468606563944,15
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 200}",0.537968502818125,0.025923589655921578,0.8275128580131478,0.006666806395689838,16
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 4}",0.5378410353208354,0.013375060421014145,0.7784949491304523,0.006997677978806735,51
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 4}",0.5378410353208354,0.013375060421014145,0.7784949491304523,0.006997677978806735,51
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 2}",0.5336228211784613,0.01293771104362056,0.7760976168895815,0.0076601892863950765,53
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 2}",0.5336228211784613,0.01293771104362056,0.7760976168895815,0.0076601892863950765,53
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 200}",0.5292180422700048,0.030542297197136727,0.8302766887352554,0.007709113135716208,17
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 400}",0.526706898275373,0.02611154309143383,0.8292632034760681,0.006546736450007875,18
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__n_estimators': 400}",0.5266205178261044,0.03307537425418358,0.8264072493085435,0.008519695414474468,19
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__n_estimators': 200}",0.5261224181765934,0.03444852323336872,0.8265914537461766,0.008978253601416004,20
RandomForest,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 400}",0.5258204204888824,0.023280974759607526,0.8244718503439771,0.005751066696859,21
RandomForest,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 200}",0.5249271956602416,0.019953534991186416,0.82465669157962,0.004046659728452203,22
GaussianNB,{'clf__var_smoothing': 1e-07},0.4910301683022872,0.005594525775678109,0.5141427319059153,0.01062028435924365,1
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1}",0.4798151953188287,0.037747035507771975,0.8135070376793383,0.005201150352382704,55
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 2}",0.4798151953188287,0.037747035507771975,0.8135070376793383,0.005201150352382704,55
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 4}",0.4798151953188287,0.037747035507771975,0.8135070376793383,0.005201150352382704,55
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 4}",0.47710992567171945,0.04365897280786905,0.8123091781697152,0.00509699470864187,58
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 4}",0.47710992567171945,0.04365897280786905,0.8123091781697152,0.00509699470864187,58
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1}",0.4766754772866535,0.04427131157565481,0.8120327229270632,0.0049924065800215555,60
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1}",0.4766754772866535,0.04427131157565481,0.8120327229270632,0.0049924065800215555,60
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 2}",0.47623877621269584,0.04486285843133152,0.8119405994816464,0.005235712996533785,62
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 2}",0.47623877621269584,0.04486285843133152,0.8119405994816464,0.005235712996533785,62
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1}",0.4751562587538635,0.04157279826207725,0.8132304550770844,0.006252799613705596,64
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 2}",0.4751562587538635,0.04157279826207725,0.8132304550770844,0.006252799613705596,64
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 4}",0.4750582483972202,0.041121465388048305,0.813322620975702,0.006196095402075989,66
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 2}",0.4734118342224338,0.042439268422578585,0.8127697104903981,0.006288089556704411,67
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 2}",0.4734118342224338,0.042439268422578585,0.8127697104903981,0.006288089556704411,67
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1}",0.4732505545913953,0.04287427854840381,0.8126775870449814,0.006381354174378868,69
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1}",0.4732505545913953,0.04287427854840381,0.8126775870449814,0.006381354174378868,69
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 4}",0.47214824896041163,0.04229830025372757,0.812585378693163,0.006762998206722402,71
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_leaf': 4}",0.47214824896041163,0.04229830025372757,0.812585378693163,0.006762998206722402,71
GaussianNB,{'clf__var_smoothing': 1e-08},0.467302689848752,0.006822472853088023,0.4603331727187242,0.014869547851409565,2
kNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.45994698672259426,0.01088246850967515,0.7658712351970997,0.005334205310329439,1
kNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.45994698672259426,0.01088246850967515,0.7658712351970997,0.005334205310329439,1
kNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.45970057175892454,0.013728370111127227,0.7517749470926987,0.006752690231190372,3
kNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.45970057175892454,0.013728370111127227,0.7517749470926987,0.006752690231190372,3
